group,names,scores,logfoldchanges,pvals,pvals_adj
1,ADK,29.25444,1.2769123,3.942770910779342e-188,2.4953215374024143e-185
1,TMEM123,28.895035,1.1436287,1.3783677101276374e-183,8.314572471435558e-181
1,HLA-DRA,28.804125,2.6208684,1.9043653605559846e-182,1.1310758324557591e-179
1,TAPT1,28.64046,1.5618469,2.1075597011673427e-180,1.2327946942919157e-177
1,DNMBP,28.625334,2.2654483,3.251625220865088e-180,1.8736155712942923e-177
1,MEF2C,28.454506,1.850469,4.286113794702456e-178,2.4333780758571034e-175
1,IL4R,28.32477,1.5318421,1.7124133427113464e-176,9.581076740393368e-174
1,SSH2,28.259293,1.0913593,1.0943242126218268e-175,6.035354364639749e-173
1,LINC00926,28.211224,1.6160072,4.2592171412380405e-175,2.3159343233047297e-172
1,ENSG00000290680,28.208643,1.9532875,4.5812214221128457e-175,2.456425475306785e-172
1,GAB1,28.086016,2.2177536,1.451708067198913e-173,7.677348170175512e-171
1,CD52,28.016088,0.9782705,1.0347657580825219e-172,5.3984009265586265e-170
1,GNA13,27.804773,1.2043607,3.798019593276174e-170,1.9292940055002628e-167
1,RALGPS2,27.79932,1.5497446,4.420562244337976e-170,2.2163665714923626e-167
1,FCRL5,27.795662,1.8694241,4.894353124089388e-170,2.422453803956345e-167
1,VPS37B,27.736073,1.2353014,2.565653025657986e-169,1.2537924140323063e-166
1,HLA-DQA1,27.681929,2.1716592,1.1523766865529375e-168,5.561081795132839e-166
1,INPP5D,27.557577,1.3101741,3.59051078626345e-167,1.711299498944281e-164
1,TLE1,27.510378,1.9218783,1.3191468442625803e-166,6.1357810927230336e-164
1,KHDRBS2,27.47106,1.9421554,3.893628329964027e-166,1.7894930393641813e-163
1,LARGE1,27.106255,1.6606575,8.309172836276574e-162,3.7739285472622755e-159
1,ADAM7-AS1,27.072891,1.6356419,2.0540018432641354e-161,9.220557576866885e-159
1,C12orf42,27.070646,1.7856638,2.1829345404257276e-161,9.686709295135131e-159
1,SMAD3,27.051018,1.3785039,3.715617011476921e-161,1.6300580721031592e-158
